HGNC symbol,Gene stable ID
MT-TF,ENSG00000210049
MT-RNR1,ENSG00000211459
MT-TV,ENSG00000210077
MT-RNR2,ENSG00000210082
MT-TL1,ENSG00000209082
MT-ND1,ENSG00000198888
MT-TI,ENSG00000210100
MT-TQ,ENSG00000210107
MT-TM,ENSG00000210112
MT-ND2,ENSG00000198763
MT-TW,ENSG00000210117
MT-TA,ENSG00000210127
MT-TN,ENSG00000210135
MT-TC,ENSG00000210140
MT-TY,ENSG00000210144
MT-CO1,ENSG00000198804
MT-TS1,ENSG00000210151
MT-TD,ENSG00000210154
MT-CO2,ENSG00000198712
MT-TK,ENSG00000210156
MT-ATP8,ENSG00000228253
MT-ATP6,ENSG00000198899
MT-CO3,ENSG00000198938
MT-TG,ENSG00000210164
MT-ND3,ENSG00000198840
MT-TR,ENSG00000210174
MT-ND4L,ENSG00000212907
MT-ND4,ENSG00000198886
MT-TH,ENSG00000210176
MT-TS2,ENSG00000210184
MT-TL2,ENSG00000210191
MT-ND5,ENSG00000198786
MT-ND6,ENSG00000198695
MT-TE,ENSG00000210194
MT-CYB,ENSG00000198727
MT-TT,ENSG00000210195
MT-TP,ENSG00000210196
,ENSG00000299200
,ENSG00000308964
,ENSG00000278457
,ENSG00000271254
,ENSG00000276197
,ENSG00000278573
,ENSG00000278704
,ENSG00000309338
,ENSG00000309357
,ENSG00000297432
,ENSG00000297449
,ENSG00000299314
,ENSG00000295063
,ENSG00000303867
,ENSG00000309229
,ENSG00000278294
RNA5-8SN5,ENSG00000274917
,ENSG00000307034
,ENSG00000310277
,ENSG00000273730
,ENSG00000273937
,ENSG00000277196
,ENSG00000308580
,ENSG00000296546
,ENSG00000303173
,ENSG00000296902
,ENSG00000297619
,ENSG00000296713
,ENSG00000305511
,ENSG00000305525
,ENSG00000278625
,ENSG00000294644
,ENSG00000306721
,ENSG00000300051
,ENSG00000303750
,ENSG00000278817
,ENSG00000276017
,ENSG00000297072
,ENSG00000300074
,ENSG00000300093
,ENSG00000301131
,ENSG00000300846
,ENSG00000307470
,ENSG00000303733
,ENSG00000305236
,ENSG00000309233
,ENSG00000303902
,ENSG00000302039
,ENSG00000297844
,ENSG00000277630
,ENSG00000295160
,ENSG00000300815
,ENSG00000306528
,ENSG00000304057
,ENSG00000296348
,ENSG00000277428
,ENSG00000307824
,ENSG00000276256
,ENSG00000295668
,ENSG00000304745
,ENSG00000303853
,ENSG00000303221
,ENSG00000306744
,ENSG00000306767
,ENSG00000308844
,ENSG00000278793
,ENSG00000298861
,ENSG00000308643
,ENSG00000303875
,ENSG00000303892
,ENSG00000303912
,ENSG00000308185
,ENSG00000277374
,ENSG00000303573
,ENSG00000309296
,ENSG00000307722
,ENSG00000274202
,ENSG00000310401
,ENSG00000309793
,ENSG00000304792
,ENSG00000304816
,ENSG00000309831
,ENSG00000309258
,ENSG00000304845
,ENSG00000275987
,ENSG00000268674
,ENSG00000277475
,ENSG00000275405
,ENSG00000298139
,ENSG00000301573
,ENSG00000301587
,ENSG00000298153
,ENSG00000298169
,ENSG00000298181
,ENSG00000273748
,ENSG00000296581
,ENSG00000297972
,ENSG00000293919
,ENSG00000296598
,ENSG00000300519
,ENSG00000278633
,ENSG00000278066
,ENSG00000296618
,ENSG00000276711
,ENSG00000295378
,ENSG00000302961
,ENSG00000304422
,ENSG00000275661
,ENSG00000276351
,ENSG00000276345
,ENSG00000273532
,ENSG00000294171
,ENSG00000297558
,ENSG00000298095
,ENSG00000296634
,ENSG00000303588
,ENSG00000293939
,ENSG00000294191
,ENSG00000308966
,ENSG00000293969
,ENSG00000309079
,ENSG00000299852
,ENSG00000299870
,ENSG00000299885
,ENSG00000277400
MAFIP,ENSG00000274847
,ENSG00000307061
,ENSG00000298772
,ENSG00000276312
RNA5-8SN4,ENSG00000276700
,ENSG00000275757
,ENSG00000273739
,ENSG00000298142
,ENSG00000301406
,ENSG00000307206
,ENSG00000307077
,ENSG00000310376
,ENSG00000298793
,ENSG00000310392
,ENSG00000306938
,ENSG00000310347
,ENSG00000276932
,ENSG00000302801
,ENSG00000307088
,ENSG00000306402
,ENSG00000293753
,ENSG00000299010
,ENSG00000275063
,ENSG00000277856
,ENSG00000298751
,ENSG00000298769
,ENSG00000301091
,ENSG00000303154
,ENSG00000278384
,ENSG00000301761
,ENSG00000307122
,ENSG00000307143
,ENSG00000307166
,ENSG00000274175
,ENSG00000273554
,ENSG00000275869
,ENSG00000278510
,ENSG00000273843
,ENSG00000277836
,ENSG00000294926
,ENSG00000295260
,ENSG00000295285
,ENSG00000295455
,ENSG00000295648
,ENSG00000296644
,ENSG00000301787
,ENSG00000296798
,ENSG00000297394
,ENSG00000297936
,ENSG00000300662
,ENSG00000301410
,ENSG00000303548
,ENSG00000303746
,ENSG00000304032
,ENSG00000304964
,ENSG00000305027
,ENSG00000305713
,ENSG00000306124
,ENSG00000307249
,ENSG00000308567
,ENSG00000306474
,ENSG00000309335
,ENSG00000310156
,ENSG00000296732
,ENSG00000306526
,ENSG00000296756
,ENSG00000296775
,ENSG00000298469
,ENSG00000306901
,ENSG00000277890
,ENSG00000275249
,ENSG00000274792
,ENSG00000276872
,ENSG00000276760
,ENSG00000277927
,ENSG00000294368
,ENSG00000294897
,ENSG00000297236
,ENSG00000307608
,ENSG00000309787
,ENSG00000309802
,ENSG00000278673
,ENSG00000294916
RPL23AP45,ENSG00000291360
,ENSG00000291361
C8orf33,ENSG00000291362
LINC02688,ENSG00000291364
MUC5AC,ENSG00000291363
MUC2,ENSG00000293532
ZSWIM4,ENSG00000288360
,ENSG00000288519
RN7SL619P,ENSG00000288240
MIR23AHG,ENSG00000288498
MIR24-2,ENSG00000288126
MIR27A,ENSG00000288183
MIR23A,ENSG00000288462
NANOS3,ENSG00000288505
MIR181C,ENSG00000288397
MIR181D,ENSG00000288329
BRME1,ENSG00000288152
CC2D1A,ENSG00000288293
PODNL1,ENSG00000288195
DCAF15,ENSG00000288453
RFX1,ENSG00000288283
,ENSG00000288351
RLN3,ENSG00000288474
,ENSG00000288441
IL27RA,ENSG00000288185
PALM3,ENSG00000288318
EEF1DP1,ENSG00000288278
MISP3,ENSG00000288191
MIR1199,ENSG00000288366
C19orf67,ENSG00000288239
PRKACA,ENSG00000288516
,ENSG00000288496
ASF1B,ENSG00000288210
ADGRL1-AS1,ENSG00000288348
ADGRL1,ENSG00000288324
RN7SL231P,ENSG00000288289
,ENSG00000288425
,ENSG00000288433
SAMD1,ENSG00000288488
CNTNAP3C,ENSG00000291365
RN7SL462P,ENSG00000291366
,ENSG00000280864
RNU1-62P,ENSG00000281822
MTCO3P47,ENSG00000280505
RNA5SP136,ENSG00000280775
RYBP,ENSG00000281766
SYT15B,ENSG00000288175
,ENSG00000288244
NPY4R2,ENSG00000288157
,ENSG00000288304
FAM25C,ENSG00000288481
AGAP12P,ENSG00000288424
,ENSG00000290627
RNA5SP315,ENSG00000288201
BMS1P7,ENSG00000288196
,ENSG00000288457
,ENSG00000288522
HMX1,ENSG00000288204
,ENSG00000288247
PPP2R3B,ENSG00000292327
RPL14P5,ENSG00000292328
,ENSG00000292329
IL3RA,ENSG00000292332
P2RY8,ENSG00000292333
SLC25A6,ENSG00000292334
DHRSX-IT1,ENSG00000292337
DHRSX,ENSG00000292338
ASMTL,ENSG00000292339
LINC00685,ENSG00000292342
PLCXD1,ENSG00000292344
ZBED1,ENSG00000292345
MIR6089,ENSG00000292346
LINC00102,ENSG00000292347
CD99,ENSG00000292348
,ENSG00000292350
FABP5P13,ENSG00000292352
KRT18P53,ENSG00000292353
SHOX,ENSG00000292354
MIR3690,ENSG00000292355
RNA5SP498,ENSG00000292356
CD99P1,ENSG00000292361
CRLF2,ENSG00000292363
AKAP17A,ENSG00000292343
ASMT,ENSG00000292336
,ENSG00000292330
