ensembl_id,gene_name,10k_hvg,tokenised_genes
ENSG00000137203,TFAP2A,included,included
ENSG00000008196,TFAP2B,included,included
ENSG00000087510,TFAP2C,included,included
ENSG00000008197,TFAP2D,not included,included
ENSG00000116819,TFAP2E,not included,included
ENSG00000116017,ARID3A,included,included
ENSG00000179361,ARID3B,included,included
ENSG00000205143,ARID3C,included,included
ENSG00000196843,ARID5A,not included,included
ENSG00000150347,ARID5B,included,included
ENSG00000117139,KDM5B,included,included
ENSG00000189079,ARID2,not included,included
ENSG00000153207,AHCTF1,included,included
ENSG00000126705,AHDC1,included,included
ENSG00000106948,AKNA,included,included
ENSG00000116539,ASH1L,not included,included
ENSG00000173894,CBX2,not included,included
ENSG00000101457,DNTTIP1,not included,included
ENSG00000104885,DOT1L,not included,included
ENSG00000140632,GLYR1,included,included
ENSG00000137309,HMGA1,included,included
ENSG00000149948,HMGA2,included,included
ENSG00000025293,PHF20,not included,included
ENSG00000135365,PHF21A,not included,included
ENSG00000126464,PRR12,not included,included
ENSG00000146285,SCML4,included,included
ENSG00000152217,SETBP1,included,included
ENSG00000080603,SRCAP,not included,included
ENSG00000188070,C11orf95,not included,included
ENSG00000237765,FAM200B,not included,included
ENSG00000141258,SGSM2,not included,included
ENSG00000214717,ZBED1,included,included
ENSG00000177494,ZBED2,included,included
ENSG00000132846,ZBED3,included,included
ENSG00000100426,ZBED4,not included,included
ENSG00000236287,ZBED5,not included,included
ENSG00000257315,ZBED6,not included,included
ENSG00000232040,ZBED9,included,included
ENSG00000106546,AHR,included,included
ENSG00000063438,AHRR,included,included
ENSG00000143437,ARNT,not included,included
ENSG00000172379,ARNT2,included,included
ENSG00000133794,ARNTL,included,included
ENSG00000029153,ARNTL2,included,included
ENSG00000139352,ASCL1,included,included
ENSG00000183734,ASCL2,included,included
ENSG00000176009,ASCL3,not included,not_included
ENSG00000187855,ASCL4,included,included
ENSG00000232237,ASCL5,included,included
ENSG00000172238,ATOH1,included,included
ENSG00000179774,ATOH7,included,included
ENSG00000168874,ATOH8,included,included
ENSG00000180535,BHLHA15,included,included
ENSG00000205899,BHLHA9,not included,included
ENSG00000180828,BHLHE22,included,included
ENSG00000125533,BHLHE23,included,included
ENSG00000134107,BHLHE40,included,included
ENSG00000123095,BHLHE41,included,included
ENSG00000250709,CCDC169-SOHLH2,not included,not_included
ENSG00000134852,CLOCK,included,included
ENSG00000116016,EPAS1,included,included
