stem,intermediate,terminal
LT-HSC,MEMP,MK prog.
LT-HSC,MEMP,BFU-E/CFU-E
LT-HSC,MEMP,Early erythroblast
LT-HSC,MEMP,Ba/Eo/Ma prog.
LT-HSC,LMPP,Pre pro-B
LT-HSC,LMPP,Pro-B
LT-HSC,LMPP,Cycling pro-B
LT-HSC,LMPP,Large pre-B
LT-HSC,LMPP,Small pre-B
LT-HSC,LMPP,Immature B
LT-HSC,LMPP,pDC
LT-HSC,GMP,cDC pre./cDC
LT-HSC,GMP,Mono pre./Mono
LT-HSC,GMP,Macrophage
LT-HSC,GMP,pDC
ST-HSC,MEMP,MK prog.
ST-HSC,MEMP,BFU-E/CFU-E
ST-HSC,MEMP,Early erythroblast
ST-HSC,MEMP,Ba/Eo/Ma prog.
ST-HSC,LMPP,Pre pro-B
ST-HSC,LMPP,Pro-B
ST-HSC,LMPP,Cycling pro-B
ST-HSC,LMPP,Large pre-B
ST-HSC,LMPP,Small pre-B
ST-HSC,LMPP,Immature B
ST-HSC,LMPP,pDC
ST-HSC,GMP,cDC pre./cDC
ST-HSC,GMP,Mono pre./Mono
ST-HSC,GMP,Macrophage
ST-HSC,GMP,pDC
MPP,MEMP,MK prog.
MPP,MEMP,BFU-E/CFU-E
MPP,MEMP,Early erythroblast
MPP,MEMP,Ba/Eo/Ma prog.
MPP,LMPP,Pre pro-B
MPP,LMPP,Pro-B
MPP,LMPP,Cycling pro-B
MPP,LMPP,Large pre-B
MPP,LMPP,Small pre-B
MPP,LMPP,Immature B
MPP,LMPP,pDC
MPP,GMP,cDC pre./cDC
MPP,GMP,Mono pre./Mono
MPP,GMP,Macrophage
MPP,GMP,pDC
